21EK	23EK	25EK	27EK	28EK	28EK	31EK	31EK	29EK	31EK	35EK	35EK	34EK	34EK	39EK	42EK	36EK	39EK	42EK	44EK
21EK	23EK	25EK	27EK	28EK	28EK	31EK	31EK	29EK	31EK	35EK	35EK	34EK	34EK	39EK	42EK	36EK	39EK	42EK	44EK
21EK	23EK	25EK	27EK	28EK	28EK	31EK	31EK	29EK	31EK	35EK	35EK	34EK	34EK	39EK	42EK	36EK	39EK	42EK	43EK
21EK	23EK	25EK	27EK	28EK	28EK	31EK	31EK	29EK	30EK	34EK	34EK	34EK	34EK	38EK	41EK	35EK	38EK	41EK	43EK
21EK	23EK	25EK	26EK	27EK	27EK	30EK	30EK	28EK	30EK	34EK	34EK	33EK	33EK	38EK	41EK	35EK	38EK	41EK	42EK
21EK	23EK	24EK	26EK	27EK	27EK	30EK	30EK	28EK	30EK	34EK	34EK	33EK	33EK	37EK	40EK	34EK	37EK	40EK	42EK
21EK	22EK	24EK	26EK	27EK	27EK	30EK	30EK	28EK	29EK	33EK	33EK	33EK	33EK	37EK	40EK	34EK	37EK	40EK	41EK
20EK	22EK	24EK	26EK	27EK	27EK	29EK	29EK	27EK	29EK	33EK	33EK	32EK	32EK	37EK	39EK	33EK	36EK	40EK	41EK
20EK	22EK	24EK	25EK	26EK	26EK	29EK	29EK	27EK	29EK	32EK	32EK	32EK	32EK	36EK	39EK	33EK	36EK	39EK	40EK
20EK	22EK	23EK	25EK	26EK	26EK	29EK	29EK	27EK	28EK	32EK	32EK	32EK	32EK	36EK	39EK	32EK	35EK	39EK	40EK
20DK	22DK	23EK	25EK	26EK	26EK	28EK	28EK	27EK	28EK	32EK	32EK	31EK	31EK	35EK	38EK	32EK	35EK	38EK	39EK
20DK	21DK	23EK	25EK	26EK	26EK	28EK	28EK	26EK	28EK	31EK	31EK	31EK	31EK	35EK	38EK	31EK	34EK	38EK	39EK
20DK	21DK	23DK	24EK	25EK	25EK	28EK	28EK	26EK	27EK	31EK	31EK	31EK	31EK	35EK	37EK	31EK	34EK	37EK	38EK
19DK	21DK	22DK	24EK	25EK	25EK	27EK	27EK	26EK	27EK	31EK	30EK	30EK	30EK	34EK	37EK	30EK	33EK	37EK	38EK
19DK	21DK	22DK	24EK	25DK	25DK	27EK	27EK	25EK	26EK	30EK	30EK	30EK	30EK	34EK	36EK	30EK	33EK	37EK	37EK
19DK	21DK	22DK	23EK	25DK	24DK	27DK	27EK	25EK	26EK	30EK	30EK	30EK	30EK	33EK	36EK	30EK	32EK	36EK	37EK
19DK	20DK	22DK	23DK	24DK	24DK	26DK	26EK	25DK	26EK	29EK	29EK	29DK	29EK	33EK	35EK	29EK	32EK	36EK	36EK
19DK	20DK	21DK	23DK	24DK	24DK	26DK	26EK	24DK	25EK	29EK	29EK	29DK	29EK	33EK	35EK	29EK	31EK	35EK	36EK
19CK	20DK	21DK	23DK	24DK	24DK	26DK	26DK	24DK	25EK	29EK	29EK	29DK	29EK	32EK	35EK	28EK	31EK	35EK	35EK
18CK	20CK	21DK	22DK	24DK	23DK	26DK	25DK	24DK	25DK	28DK	28EK	29DK	28DK	32EK	34EK	28EK	30EK	35EK	35EK
18CK	20CK	21DK	22DK	23DK	23DK	25DK	25DK	24DK	24DK	28DK	28EK	28DK	28DK	31EK	34EK	27EK	30EK	34EK	34EK
18CK	19CK	21DK	22DK	23DK	23DK	25DK	25DK	23DK	24DK	27DK	27EK	28DK	28DK	31DK	33EK	27EK	29EK	34EK	34EK
18CK	19CK	20DK	22DK	23DK	23DK	25DK	24DK	23DK	24DK	27DK	27DK	28DK	27DK	31DK	33EK	26DK	29EK	33EK	33EK
18CK	19CK	20CK	21DK	23DK	22DK	24DK	24DK	23DK	23DK	27DK	27DK	27DK	27DK	30DK	32DK	26DK	28EK	33EK	33EK
18CK	19CK	20CK	21DK	22DK	22DK	24DK	24DK	22DK	23DK	26DK	26DK	27DK	27DK	30DK	32DK	25DK	28DK	32EK	32EK
17CK	19CK	20CK	21DK	22DK	22DK	24DK	23DK	22DK	23DK	26DK	26DK	27DK	26DK	29DK	31DK	25DK	28DK	32EK	32EK
17CK	18CK	19CK	20DK	22DK	22DK	23DK	23DK	22DK	22DK	26DK	25DK	26DK	26DK	29DK	31DK	24DK	27DK	32EK	31EK
17BK	18CK	19CK	20DK	22CK	21DK	23DK	23DK	21DK	22DK	25DK	25DK	26DK	26DK	29DK	31DK	24DK	27DK	31EK	31EK
17BK	18CK	19CK	20DK	21CK	21CK	23DK	22DK	21DK	21DK	25DK	25DK	26DK	25DK	28DK	30DK	23DK	26DK	31EK	30EK
17BK	18BK	19CK	20DK	21CK	21CK	22DK	22DK	21DK	21DK	24DK	24DK	25DK	25DK	28DK	30DK	23DK	26DK	30EK	30EK
17BK	18BK	18CK	19DK	21CK	20CK	22CK	22DK	21CK	21DK	24DK	24DK	25CK	25DK	27DK	29DK	23DK	25DK	30EK	29DK
16AK	17BK	18CK	19CK	21CK	20CK	22CK	21DK	20CK	20DK	24DK	23DK	25CK	24DK	27DK	29DK	22DK	25DK	29EK	29DK
16AK	17BK	18CK	19CK	20CK	20CK	21CK	21DK	20CK	20DK	23DK	23DK	24CK	24DK	26DK	28DK	22DK	24DK	29DK	28DK
16AP	17BK	18CK	19CK	20CK	20CK	21CK	21DK	20CK	20DK	23DK	23DK	24CK	24DK	26DK	28DK	21DP	24DK	29DK	28DK
16AK	17AK	17CK	18CK	20CK	19CK	21CK	20DK	19CK	19DK	22DK	22DK	24CK	23DK	26DK	27DK	21DK	23DK	28DK	27DK
16AP	17AK	17BK	18CK	20CK	19CK	21CK	20DK	19CK	19DK	22DK	22DK	24CK	23DK	25DK	27DK	20DP	23DP	28DK	27DK
16AK	16AP	17BK	18CK	19CK	19CK	20CK	20CK	19CK	19CK	22DK	22DK	23CK	23DK	25DK	27DK	20DK	22DK	27DK	26DP
15AP	16AK	17BK	17CK	19CK	19CK	20CK	19CK	19CK	18CK	21DK	21DK	23CK	22DK	24DK	26DK	19DP	22DP	27DK	26DK
15AK	16AP	16BK	17CK	19CK	18CK	20CK	19CK	18CK	18CK	21CK	21DK	23CK	22DK	24DK	26DK	19DK	21DK	27DK	25DP
15	16AK	16BK	17CK	19CK	18CK	19CK	19CK	18CK	18CK	21CK	20DK	22CK	22CK	24DK	25DK	18DP	21DP	26DK	25DK
15	16AP	16BK	17CK	18BK	18CK	19CK	18CK	18CK	17CK	20CK	20DK	22CK	21CK	23CK	25DK	18CK	20DK	26DK	24DP
15	15AK	16BK	16CK	18BK	18CK	19CK	18CK	17CK	17CK	20CK	20DK	22CK	21CK	23CK	24DK	17CP	20DP	25DP	24DK
15	15AP	16AK	16CK	18BK	17BK	18CK	18CK	17CK	16CK	19CK	19DK	21CK	21CK	22CK	24DK	17CK	19DK	25DK	23DP
14	15AK	15AK	16CK	18BK	17BK	18CK	17CK	17CK	16CK	19CK	19CK	21CK	20CK	22CK	23DK	17CP	19CP	24DP	23DK
14	15	15AP	16CK	17BP	17BK	18CK	17CK	16CK	16CK	19CK	18CK	21CK	20CK	22CK	23DK	16CK	18CK	24DK	22DP
14	15	15AK	15BK	17AK	16BK	17CK	17CK	16CK	15CK	18CK	18CK	20CK	20CK	21CK	23CK	16CP	18CP	24DP	22DK
14	14	15AP	15BK	17AP	16BK	17CK	16CK	16CK	15CK	18CK	18CK	20CP	19CK	21CK	22CK	15CK	17CK	23DK	21DP
14	14	14AK	15BK	17AK	16BK	17BK	16CK	16BP	15CK	17CK	17CK	20CK	19CK	20CK	22CK	15CP	17CP	23DP	21DK
14	14	14AP	14BK	16AP	16BK	16BK	16CK	15BK	14CK	17CK	17CK	19CP	19CK	20CK	21CK	14CK	17CK	22DK	20DP
13	14	14AK	14BK	16AK	15AP	16BK	15CK	15BP	14CK	17CK	16CK	19BK	18CP	20CK	21CK	14CP	16CP	22DP	20DK
13	14	14AP	14BK	16AP	15AK	16BK	15CK	15BK	14CK	16CK	16CK	19BP	18CK	19CK	20CK	13CK	16CK	22DK	19DP
13	13	13AK	14BK	16AK	15AP	16BK	15CK	14BP	13CK	16CK	16CK	19BK	18CP	19CK	20CK	13CP	15CP	21DP	19CK
13	13	13AP	13AP	15AP	15AK	15BP	14CK	14BK	13CP	16CK	15CK	18BP	17CK	18CP	20CP	12CK	15CK	21DK	18CP
13	13	13AK	13AK	15AK	14AP	15BK	14BK	14BP	13CK	15CK	15CK	18BK	17CP	18CK	19CK	12CP	14CP	20DP	18CK
13	13	13	13AP	15	14AK	15AP	14BK	13BK	12BP	15CK	15CK	18BP	17CK	18CP	19CP	11CK	14CK	20CK	17CP
12	13	12	13AK	14	14AP	14AK	13BK	13BP	12BK	14CP	14CK	17BK	16CP	17CK	18CK	11BP	13CP	19CP	17CK
12	12	12	12AP	14	14AK	14AP	13BK	13BK	11BP	14CK	14CK	17BP	16CK	17CP	18CP	10BK	13BK	19CK	16CP
12	12	12	12AK	14	13AP	14AK	13BK	13AP	11BK	14CP	13CK	17BK	16CP	16CK	17CK	10BP	12BP	19CP	16CK
12	12	12	12AP	14	13AK	13AP	12BK	12AK	11BP	13CK	13CK	16BP	15CK	16CP	17CP	10BK	12BK	18CK	15CP
12	12	11	12AK	13	13	13AK	12BK	12AP	10BK	13BP	13CK	16BK	15BP	15BK	16CK	9AP	11BP	18CP	15CK
12	12	11	11AP	13	12	13AP	12BP	12AK	10BP	12BK	12CP	16BP	15BK	15BP	16BP	9AK	11BK	17CK	14CP
11	11	11	11AK	13	12	12AK	11BK	11AP	10BK	12BP	12CK	15BK	14BP	15BK	16BK	8AP	10BP	17CP	14CK
11	11	11	11AP	13	12	12AP	11AP	11AK	9BP	12BK	11CP	15BP	14BK	14BP	15BP	8AK	10AK	16CK	13CP
11	11	11	10AK	12	12	12AK	11AK	11AP	9BK	11BP	11CK	15AK	14BP	14BK	15BK	7AS	9AP	16CP	13BK
11	11	10	10	12	11	11	10AP	11AK	9AP	11BK	11BP	14AP	13BK	13BP	14BP	7	9AK	16CK	12BP
11	11	10	10	12	11	11	10AK	10AP	8AK	11BP	10BK	14AK	13BP	13BK	14BK	6	8AP	15CP	12BK
11	10	10	10	12	11	11	10AP	10AK	8AP	10BK	10BP	14AP	13BK	13BP	13BP	6	8AK	15CK	11BP
10	10	10	9	11	11	11	9AK	10	8AK	10BP	9BK	14AK	12BP	12BK	13BK	5	7AS	14CP	11AK
10	10	9	9	11	10	10	9AP	9	7AP	9BK	9BP	13AP	12BK	12BP	12BP	5	7	14CK	10AP
10	10	9	9	11	10	10	9AK	9	7AK	9AP	9BK	13AK	12BP	11BK	12BK	4	0	14BP	10AK
10	10	9	9	11	10	10	8AP	9	6AP	9AK	8BP	13AP	11BK	11BP	12BP	4	0	13BK	9
10	9	9	8	10	10	9	8AK	8	6AK	8AP	8BK	12AK	11AP	11BK	11BK	0	0	13BP	0
10	9	8	8	10	9	9	8AP	8	6	8AK	8BP	12AP	11AK	10AP	11BP	0	0	12BK	0
9	9	8	8	10	9	9	7AK	8	5	7AP	7BK	12AK	10AP	10AK	10AK	0	0	12BP	0
9	9	8	7	10	9	8	7	8	5	7AK	7BP	11	10AK	9AP	10AP	0	0	11BK	0
9	9	8	7	9	8	8	7	7	5	7AP	6AK	11	10AP	9AK	9AK	0	0	11BP	0
9	8	7	7	9	8	8	6	7	4	6AK	6AP	11	9AK	9AP	9AP	0	0	11AK	0
9	8	7	7	9	8	7	6	7	4	6	6AK	10	9AP	8AK	8AK	0	0	10AP	0
9	8	7	6	9	8	7	6	6	4	6	5AP	10	9AK	8AP	8AP	0	0	10AK	0
8	8	7	6	8	7	7	5	6	3	5	5AK	10	8	7AK	8AK	0	0	9AP	0
8	8	6	6	8	7	6	5	6	3	5	4AP	9	8	7AP	7AP	0	0	9	0
8	7	6	6	8	7	6	5	5	0	4	4AK	9	8	7AK	7AK	0	0	0	0
8	7	6	5	8	7	6	4	5	0	4	4AP	9	7	6AP	6AP	0	0	0	0
8	7	6	5	7	6	6	4	5	0	4	3AK	9	7	6AK	6AK	0	0	0	0
8	7	6	5	7	6	5	4	5	0	3	3	8	7	5	5AP	0	0	0	0
7	7	5	4	7	6	5	3	4	0	3	0	8	6	5	5	0	0	0	0
7	6	4	3	5	4	3	2	3	0	0	0	6	5	0	0	0	0	0	0
6	5	3	2	4	3	2	0	0	0	0	0	5	0	0	0	0	0	0	0
5	4	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0