6EP	8EP	10EP	12EP	15EP	15EP	18EP	18EP	16EP	18EP	22EP	22EP	16EP	16EP	21EP	24EP	18EP	21EP	24EP	26EP
6EP	8EP	10EP	12EP	15EP	15EP	18EP	18EP	16EP	18EP	22EP	22EP	16EP	16EP	21EP	24EP	18EP	21EP	24EP	26EP
6DP	8DP	10EP	12EP	15EP	15EP	18EP	18EP	16EP	18EP	22EP	22EP	16EP	16EP	21EP	24EP	18EP	21EP	24EP	26EP
6DP	8DP	10EP	12EP	15EP	15EP	18EP	18EP	16EP	18EP	22EP	22EP	16EP	16EP	21EP	24EP	18EP	21EP	24EP	26EP
6CP	8CP	10DP	12EP	15EP	15EP	18EP	18EP	16EP	17EP	21EP	21EP	16EP	16EP	21EP	23EP	17EP	20EP	24EP	25EP
6CP	8CP	10DP	12EP	15EP	15EP	17EP	17EP	16EP	17EP	21EP	21EP	16EP	16EP	20EP	23EP	17EP	20EP	23EP	25EP
6CP	8CP	10DP	12EP	15EP	14EP	17EP	17EP	15EP	17EP	21EP	21EP	16EP	16EP	20EP	23EP	17EP	20EP	23EP	25EP
6BP	8CP	10DP	11DP	14DP	14DP	17EP	17EP	15DP	17EP	20EP	20EP	15EP	15EP	20EP	23EP	17EP	20EP	23EP	24EP
6BP	8BP	10CP	11DP	14DP	14DP	17DP	17EP	15DP	16EP	20EP	20EP	15EP	15EP	20EP	22EP	16EP	19EP	23EP	24EP
6BP	8BP	9CP	11DP	14DP	14DP	17DP	16EP	15DP	16EP	20EP	20EP	15EP	15EP	19EP	22EP	16EP	19EP	22EP	24EP
6AP	8BP	9CP	11DP	14DP	14DP	16DP	16EP	15DP	16DP	20DP	20EP	15DP	15EP	19EP	22EP	16EP	19EP	22EP	23EP
6AP	8BP	9CP	11DP	14DP	14DP	16DP	16DP	14DP	16DP	19DP	19EP	15DP	15EP	19EP	21EP	16EP	18EP	22EP	23EP
6AP	8AP	9CP	11DP	14DP	13DP	16DP	16DP	14DP	15DP	19DP	19EP	15DP	15DP	19EP	21EP	15EP	18EP	22EP	23EP
6AP	7AP	9CP	11DP	13DP	13DP	16DP	15DP	14DP	15DP	19DP	19EP	15DP	14DP	18EP	21EP	15DP	18EP	21EP	22EP
6AP	7AP	9BP	10DP	13CP	13DP	15DP	15DP	14DP	15DP	18DP	18DP	14DP	14DP	18DP	21EP	15DP	18EP	21EP	22EP
6AK	7AP	9BP	10CP	13CP	13CP	15DP	15DP	14CP	15DP	18DP	18DP	14DP	14DP	18DP	20EP	15DP	17EP	21EP	22EP
6	7AP	9BP	10CP	13CP	13CP	15DP	15DP	13CP	14DP	18DP	18DP	14DP	14DP	18DP	20EP	14DP	17DP	21EP	22EP
6	7AP	9BP	10CP	13CP	13CP	15CP	15DP	13CP	14DP	18DP	17DP	14DP	14DP	18DP	20DP	14DP	17DP	20EP	21EP
5	7AP	9BP	10CP	13CP	12CP	15CP	14DP	13CP	14DP	17DP	17DP	14DP	14DP	17DP	20DP	14DP	17DP	20EP	21EP
5	7AP	9BP	10CP	12CP	12CP	14CP	14DP	13CP	14DP	17DP	17DP	14DP	14DP	17DP	19DP	14DP	16DP	20EP	21EP
5	7AK	8BP	10CP	12CP	12CP	14CP	14DP	13CP	13DP	17DP	17DP	14CP	13DP	17DP	19DP	13DP	16DP	20EP	20EP
5	7	8AP	9CP	12BP	12CP	14CP	14DP	12CP	13CP	16DP	16DP	13CP	13DP	17DP	19DP	13DP	16DP	19EP	20EP
5	7	8AP	9BP	12BP	12CP	14CP	13DP	12CP	13CP	16DP	16DP	13CP	13DP	16DP	18DP	13DP	15DP	19EP	20EP
5	7	8AP	9BP	12BP	12BP	14CP	13CP	12CP	13CP	16CP	16DP	13CP	13DP	16DP	18DP	13DP	15DP	19EP	19DP
5	7	8AP	9BP	12BP	11BP	13CP	13CP	12CP	12CP	16CP	15DP	13CP	13DP	16DP	18DP	12DP	15DP	19DP	19DP
5	6	8AP	9BP	11AP	11BP	13CP	13CP	12CP	12CP	15CP	15DP	13CP	13DP	16DP	18DP	12CP	15DP	19DP	19DP
5	6	8AP	9BP	11AP	11BP	13CP	12CP	11CP	12CP	15CP	15DP	13CP	12DP	15DP	17DP	12CP	14DP	18DP	18DP
5	6	7AP	9BP	11AP	11BP	13CP	12CP	11CP	12CP	15CP	15DP	13CP	12DP	15DP	17DP	12CP	14DP	18DP	18DP
5	6	7AP	8BP	11AP	11BP	12CP	12CP	11BP	11CP	14CP	14DP	12CP	12CP	15DP	17DP	11CP	14DP	18DP	18DP
5	6	7AP	8AP	11AP	11AP	12BP	12CP	11BP	11CP	14CP	14DP	12CP	12CP	15CP	16DP	11CP	13CP	18DP	17DP
5	6	7AK	8AP	11AP	10AP	12BP	12CP	11BP	11CP	14CP	14CP	12CP	12CP	15CP	16DP	11CP	13CP	17DP	17DP
5	6	7	8AP	10AP	10AP	12BP	11CP	11BP	11CP	14CP	13CP	12CP	12CP	14CP	16DP	11CP	13CP	17DP	17DP
5	6	7	8AP	10AP	10AP	12BP	11CP	10BP	10CP	13CP	13CP	12CP	11CP	14CP	16DP	10CP	13CP	17DP	17DP
5	6	7	8AP	10AK	10AP	11BP	11CP	10BP	10CP	13CP	13CP	12CP	11CP	14CP	15DP	10CP	12CP	17DP	16DP
5	6	7	8AP	10	10AP	11BP	11CP	10BP	10BP	13CP	12CP	11CP	11CP	14CP	15DP	10CP	12CP	16DP	16DP
5	6	7	7AP	10	10AP	11AP	10BP	10BP	10BP	12CP	12CP	11BP	11CP	13CP	15CP	10CP	12CP	16DP	16DP
4	6	6	7AP	10	9AP	11AP	10BP	10BP	9BP	12CP	12CP	11BP	11CP	13CP	15CP	9CP	12CP	16DP	15DP
4	5	6	7AP	10	9AP	10AP	10BP	9BP	9BP	12CP	12CP	11BP	11CP	13CP	14CP	9BP	11CP	16DP	15DP
4	5	6	7AP	9	9AK	10AP	10BP	9BP	9BP	12CP	11CP	11BP	11CP	13CP	14CP	9BP	11CP	15DP	15CP
4	5	6	7AP	9	9	10AP	9BP	9BP	9BP	11BP	11CP	11BP	10CP	12CP	14CP	9BP	11BP	15DP	14CP
4	5	6	7AK	9	9	10AP	9BP	9AP	8BP	11BP	11CP	11BP	10CP	12CP	13CP	8BP	10BP	15CP	14CP
4	5	6	7	9	9	10AP	9BP	9AP	8BP	11BP	10CP	10BP	10CP	12CP	13CP	8BP	10BP	15CP	14CP
4	5	6	6	9	8	9AP	9BP	8AP	8BP	10BP	10CP	10BP	10CP	12CP	13CP	8BP	10BP	14CP	13CP
4	5	6	6	9	8	9AK	9AP	8AP	8BP	10BP	10CP	10BP	10CP	12BP	13CP	8BP	10BP	14CP	13CP
4	5	5	6	8	8	9	8AP	8AP	7BP	10BP	9CP	10BP	10BP	11BP	12CP	7AP	9BP	14CP	13CP
4	5	5	6	8	8	9	8AP	8AP	7BP	10BP	9CP	10BP	9BP	11BP	12CP	7AP	9BP	14CP	12CP
4	5	5	6	8	8	9	8AP	8AP	7AP	9BP	9CP	10BP	9BP	11BP	12BP	7AP	9BP	13CP	12CP
4	5	5	6	8	7	8	8AP	7AP	7AP	9BP	9BP	10BP	9BP	11BP	12BP	7AP	9AP	13CP	12BP
4	5	5	6	8	7	8	7AP	7AP	6AP	9BP	8BP	9BP	9BP	10BP	11BP	6AP	8AP	13CP	12BP
4	4	5	5	8	7	8	7AP	7AP	6AP	8BP	8BP	9AP	9BP	10BP	11BP	6AP	8AP	13CP	11BP
4	4	5	5	7	7	8	7AP	7AK	6AP	8BP	8BP	9AP	9BP	10BP	11BP	6AK	8AP	13CP	11BP
4	4	5	5	7	7	7	7AP	7	6AP	8AP	7BP	9AP	9BP	10BP	10BP	6	7AP	12CP	11BP
4	4	5	5	7	7	7	6AP	6	5AP	8AP	7BP	9AP	8BP	9BP	10BP	5	7AP	12BP	10BP
4	4	4	5	7	6	7	6AK	6	5AP	7AP	7BP	9AP	8BP	9BP	10BP	5	7AP	12BP	10BP
3	4	4	5	7	6	7	6	6	5AP	7AP	7BP	9AP	8BP	9BP	10BP	5	7AP	12BP	10AP
3	4	4	5	7	6	7	6	6	5AK	7AP	6BP	8AP	8BP	9BP	9BP	5	6AK	11BP	9AP
3	4	4	4	6	6	6	6	6	4	6AP	6BP	8AP	8BP	9BP	9BP	4	6	11BP	9AP
3	4	4	4	6	6	6	5	6	4	6AP	6BP	8AP	8AP	8BP	9BP	4	6	11BP	9AP
3	4	4	4	6	6	6	5	5	4	6AP	5BP	8AP	7AP	8AP	8BP	4	0	11BP	8AP
3	4	4	4	6	5	6	5	5	4	6AP	5BP	8AP	7AP	8AP	8BP	4	0	10BP	8AP
3	4	4	4	6	5	5	5	5	3	5AK	5BP	8AK	7AP	8AP	8BP	3	0	10BP	8
3	4	4	4	6	5	5	4	5	3	5	4AP	7	7AP	7AP	8BP	3	0	10AP	0
3	3	3	4	5	5	5	4	5	3	5	4AP	7	7AP	7AP	7AP	3	0	10AP	0
3	3	3	3	5	5	5	4	4	3	4	4AP	7	7AP	7AP	7AP	0	0	9AP	0
3	3	3	3	5	5	5	4	4	2	4	4AP	7	6AP	7AP	7AP	0	0	9AP	0
3	3	3	3	5	4	4	3	4	2	4	3AP	7	6AK	6AP	7AP	0	0	9AP	0
3	3	3	3	5	4	4	3	4	2	4	3AP	7	6	6AP	6AP	0	0	9AP	0
3	3	3	3	5	4	4	3	4	2	3	3AP	7	6	6AP	6AP	0	0	8AP	0
3	3	3	3	5	4	4	3	3	0	3	2AP	6	6	6AP	6AP	0	0	8AP	0
3	3	3	3	4	4	4	3	3	0	3	2AP	6	6	6AP	5AP	0	0	8AP	0
3	3	3	2	4	4	3	2	3	0	2	2	6	6	5AK	5AP	0	0	8	0
3	3	2	2	4	3	3	2	3	0	2	0	6	5	5	5AP	0	0	0	0
2	3	2	2	4	3	3	2	3	0	2	0	6	5	5	5AP	0	0	0	0
2	3	2	2	4	3	3	2	2	0	0	0	6	5	5	4AP	0	0	0	0
2	2	2	2	4	3	2	1	2	0	0	0	6	5	4	4AP	0	0	0	0
2	2	2	2	3	3	2	1	2	0	0	0	5	5	4	4	0	0	0	0
2	2	2	2	3	3	2	1	2	0	0	0	5	5	4	0	0	0	0	0
2	2	2	1	3	2	2	1	2	0	0	0	5	4	4	0	0	0	0	0
2	2	2	1	3	2	2	0	0	0	0	0	5	4	0	0	0	0	0	0
2	2	2	1	3	2	1	0	0	0	0	0	5	4	0	0	0	0	0	0
2	2	1	1	3	2	1	0	0	0	0	0	5	4	0	0	0	0	0	0
2	2	1	1	2	2	1	0	0	0	0	0	5	4	0	0	0	0	0	0
2	2	1	1	2	2	1	0	0	0	0	0	4	4	0	0	0	0	0	0
2	2	1	0	2	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0
2	2	1	0	2	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0
2	2	1	0	2	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0
2	1	1	0	2	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0
2	1	1	0	1	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0
2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0