10EK	12EK	14EK	16EK	17EK	17EK	20EK	20EK	18EK	20EK	24EK	24EK	18EK	18EK	23EK	26EK	20EK	23EK	26EK	28EK
10EK	12EK	14EK	16EK	17EK	17EK	20EK	20EK	18EK	20EK	24EK	24EK	18EK	18EK	23EK	26EK	20EK	23EK	26EK	28EK
10EK	12EK	14EK	16EK	17EK	17EK	20EK	20EK	18EK	20EK	24EK	24EK	18EK	18EK	23EK	26EK	20EK	23EK	26EK	28EK
10DK	12EK	14EK	16EK	17EK	17EK	20EK	20EK	18EK	20EK	24EK	24EK	18EK	18EK	23EK	26EK	20EK	23EK	26EK	27EK
10DK	12DK	14EK	16EK	17EK	17EK	19EK	19EK	18EK	19EK	23EK	23EK	18EK	18EK	22EK	25EK	19EK	22EK	25EK	27EK
10DK	12DK	14DK	15EK	17EK	16EK	19EK	19EK	17EK	19EK	23EK	23EK	18EK	18EK	22EK	25EK	19EK	22EK	25EK	27EK
10CK	12DK	13DK	15EK	16EK	16EK	19EK	19EK	17EK	19EK	23EK	23EK	17EK	17EK	22EK	25EK	19EK	22EK	25EK	26EK
10CK	12DK	13DK	15EK	16DK	16DK	19DK	19EK	17EK	19EK	22EK	22EK	17EK	17EK	22EK	24EK	18EK	21EK	25EK	26EK
10CK	11CK	13DK	15EK	16DK	16DK	18DK	18EK	17DK	18EK	22EK	22EK	17DK	17EK	21EK	24EK	18EK	21EK	24EK	26EK
10CK	11CK	13DK	15DK	16DK	16DK	18DK	18EK	17DK	18EK	22EK	22EK	17DK	17EK	21EK	24EK	18EK	21EK	24EK	25EK
9CK	11CK	13DK	14DK	16DK	15DK	18DK	18EK	16DK	18EK	21EK	21EK	17DK	17DK	21EK	23EK	18EK	20EK	24EK	25EK
9BK	11CK	13CK	14DK	15DK	15DK	18DK	17DK	16DK	17DK	21DK	21EK	17DK	17DK	21DK	23EK	17DK	20EK	23EK	25EK
9BK	11CK	12CK	14DK	15DK	15DK	17DK	17DK	16DK	17DK	21DK	21EK	16DK	16DK	20DK	23EK	17DK	20EK	23EK	24EK
9BK	11CK	12CK	14DK	15DK	15DK	17DK	17DK	16DK	17DK	20DK	20EK	16DK	16DK	20DK	22EK	17DK	19EK	23EK	24EK
9BK	11BK	12CK	13DK	15DK	15DK	17DK	17DK	15DK	17DK	20DK	20EK	16DK	16DK	20DK	22DK	16DK	19DK	23EK	23EK
9BK	10BK	12CK	13DK	15CK	14DK	17DK	16DK	15DK	16DK	20DK	20DK	16DK	16DK	20DK	22DK	16DK	19DK	22EK	23EK
9AK	10BK	12CK	13DK	14CK	14CK	16CK	16DK	15CK	16DK	19DK	19DK	16CK	16DK	19DK	21DK	16DK	19DK	22EK	23EK
9AK	10BK	11CK	13DK	14CK	14CK	16CK	16DK	15CK	16DK	19DK	19DK	16CK	15DK	19DK	21DK	16DK	18DK	22EK	22EK
9AK	10BK	11CK	13DK	14CK	14CK	16CK	16DK	15CK	15DK	19DK	19DK	15CK	15DK	19DK	21DK	15DK	18DK	21EK	22EK
9AK	10BK	11BK	12CK	14CK	14CK	16CK	15DK	14CK	15DK	19DK	18DK	15CK	15DK	19DK	21DK	15DK	18DK	21EK	22EK
8AK	10AK	11BK	12CK	14CK	13CK	15CK	15DK	14CK	15DK	19DK	18DK	15CK	15DK	18DK	20DK	15DK	17DK	21EK	21DK
8AK	10AK	11BK	12CK	13CK	13CK	15CK	15DK	14CK	15DK	18DK	18DK	15CK	15DK	18DK	20DK	14CK	17DK	21EK	21DK
8AK	9AK	11BK	12CK	13BK	13CK	15CK	14DK	14CK	14CK	18DK	17DK	15CK	15CK	18DK	20DK	14CK	17DK	20DK	21DK
8AK	9AK	10BK	11CK	13BK	13CK	15CK	14DK	13CK	14CK	17DK	17DK	15CK	14CK	18CK	19DK	14CK	16DK	20DK	20DK
8AK	9AK	10BK	11CK	13BK	13BK	14CK	14CK	13CK	14CK	17CK	17CK	14CK	14CK	17CK	19DK	14CK	16DK	20DK	20DK
8AK	9AK	10BK	11CK	13BK	12BK	14CK	14CK	13CK	14CK	17CK	16DK	14CK	14CK	17CK	19DK	13CK	16CK	20DK	19DK
8	9AK	10BK	11CK	12BK	12BK	14CK	13CK	13CK	13CK	16CK	16DK	14CK	14CK	17CK	18DK	13CK	15CK	19DK	19DK
8	9AK	10AK	11CK	12AK	12BK	14CK	13CK	13CK	13CK	16CK	16DK	14CK	14CK	17CK	18DK	13CK	15CK	19DK	19DK
8	9AK	9AK	10CK	12AK	12BK	13BK	13CK	12BK	13CK	16CK	15DK	14BK	13CK	16CK	18DK	12CK	15CK	19DK	18DK
8	9AK	9AK	10BK	12AK	12BK	13BK	13CK	12BK	12CK	15CK	15DK	14BK	13CK	16CK	17CK	12CK	14CK	18DK	18DK
7	8AK	9AK	10BK	12AK	11BK	13BK	12CK	12BK	12CK	15CK	15DK	13BK	13CK	16CK	17CK	12CK	14CK	18DK	18DK
7	8	9AK	10BK	12AK	11AK	13BK	12CK	12BK	12CK	15CK	14CK	13BK	13CK	16CK	17CK	12BK	14CK	18DK	17DK
7	8	9AK	9BK	11AK	11AK	12BK	12CK	12BK	12CK	14CK	14CK	13BK	13CK	15CK	16CK	11BK	14CK	18DK	17DK
7	8	9AK	9BK	11AK	11AK	12BK	11CK	11BK	11CK	14CK	14CK	13BK	13CK	15CK	16CK	11BK	13BK	17DK	17DK
7	8	8AK	9BK	11AK	11AK	12BK	11CK	11BK	11CK	14CK	13CK	13BK	12CK	15CK	16CK	11BK	13BK	17DK	16CK
7	8	8AK	9BK	11AK	10AK	12AK	11CK	11BK	11BK	13CK	13CK	13BK	12CK	15BK	15CK	10BK	13BK	17DK	16CK
7	8	8AK	9BK	11	10AK	11AK	11BK	11BK	10BK	13CK	13CK	12BK	12BK	14BK	15CK	10BK	12BK	16DK	15CK
7	7	8AK	8BK	10	10AK	11AK	10BK	10BK	10BK	13CK	13CK	12BK	12BK	14BK	15CK	10AK	12BK	16CK	15CK
7	7	8AK	8AK	10	10AK	11AK	10BK	10BK	10BK	13CK	12CK	12BK	12BK	14BK	15CK	10AK	12BK	16CK	15CK
7	7	7AK	8AK	10	10AK	10AK	10BK	10BK	10BK	12CK	12CK	12BK	11BK	13BK	14BK	9AK	11BK	16CK	14CK
6	7	7AK	8AK	10	9AK	10AK	10BK	10AK	9BK	12BK	12CK	12AK	11BK	13BK	14BK	9AK	11BK	15CK	14CK
6	7	7	8AK	10	9	10AK	9BK	10AK	9BK	12BK	11CK	12AK	11BK	13BK	14BK	9AK	11AK	15CK	14BK
6	7	7	7AK	9	9	10AK	9BK	9AK	9BK	11BK	11CK	11AK	11BK	13BK	13BK	8AK	10AK	15CK	13BK
6	7	7	7AK	9	9	9AK	9BK	9AK	8BK	11BK	11CK	11AK	11BK	12BK	13BK	8AK	10AK	14CK	13BK
6	6	7	7AK	9	8	9AK	8BK	9AK	8BK	11BK	10CK	11AK	11BK	12BK	13BK	8	10AK	14CK	13BK
6	6	6	7AK	9	8	9AK	8AK	9AK	8BK	10BK	10CK	11AK	10BK	12BK	12BK	8	10AK	14CK	12BK
6	6	6	6AK	9	8	9	8AK	8AK	8BK	10BK	10CK	11AK	10BK	12BK	12BK	7	9AK	14CK	12BK
6	6	6	6AK	8	8	8	8AK	8AK	7AK	10BK	9CK	10AK	10AK	11BK	12BK	7	9AK	13CK	11BK
6	6	6	6AK	8	8	8	7AK	8AK	7AK	9BK	9BK	10AK	10AK	11AK	11BK	7	9AK	13BK	11AK
5	6	6	6AK	8	7	8	7AK	8AK	7AK	9BK	9BK	10AK	10AK	11AK	11BK	6	8	13BK	11AK
5	6	6	6AK	8	7	8	7AK	8AK	7AK	9BK	8BK	10AK	9AK	11AK	11BK	6	8	13BK	10AK
5	6	5	5	8	7	7	7AK	7	6AK	8BK	8BK	10	9AK	10AK	10BK	6	8	12BK	10AK
5	5	5	5	7	7	7	6AK	7	6AK	8AK	8BK	10	9AK	10AK	10BK	6	7	12BK	10AK
5	5	5	5	7	7	7	6AK	7	6AK	8AK	7BK	9	9AK	10AK	10AK	5	7	12BK	9AK
5	5	5	5	7	6	7	6AK	7	5AK	7AK	7BK	9	9AK	10AK	9AK	5	7	11BK	9
5	5	5	4	7	6	6	5AK	7	5AK	7AK	7BK	9	9AK	9AK	9AK	5	6	11BK	9
5	5	4	4	7	6	6	5	6	5	7AK	6BK	9	8	9AK	9AK	4	6	11BK	8
5	5	4	4	6	6	6	5	6	5	7AK	6BK	9	8	9AK	9AK	4	6	11AK	8
5	5	4	4	6	6	6	5	6	4	6AK	6BK	9	8	9AK	8AK	4	0	10AK	0
4	4	4	4	6	5	5	4	6	4	6AK	5BK	8	8	8AK	8AK	4	0	10AK	0
4	4	4	3	6	5	5	4	5	4	6AK	5BK	8	8	8AK	8AK	3	0	10AK	0
4	4	4	3	6	5	5	4	5	3	5	5BK	8	7	8	7AK	3	0	9AK	0
4	4	3	3	6	5	5	4	5	3	5	4AK	8	7	8	7AK	3	0	9AK	0
4	4	3	3	5	5	4	3	5	3	5	4AK	8	7	7	7AK	0	0	9AK	0
4	4	3	2	5	4	4	3	5	3	4	4AK	8	7	7	6AK	0	0	9	0
4	4	3	2	5	4	4	3	4	2	4	3AK	7	7	7	6AK	0	0	8	0
4	3	3	2	5	4	4	2	4	2	4	3AK	7	7	7	6	0	0	8	0
4	3	2	2	5	4	3	2	4	2	3	3AK	7	6	6	5	0	0	8	0
4	3	2	2	4	4	3	2	4	0	3	2AK	7	6	6	5	0	0	0	0
3	3	2	1	4	3	3	2	3	0	3	2AK	7	6	6	5	0	0	0	0
3	3	2	1	4	3	3	1	3	0	2	2	7	6	6	4	0	0	0	0
3	3	2	1	4	3	2	1	3	0	2	0	6	6	5	4	0	0	0	0
3	3	2	1	4	3	2	1	3	0	2	0	6	5	5	4	0	0	0	0
3	3	1	0	3	3	2	0	3	0	0	0	6	5	5	0	0	0	0	0
3	2	1	0	3	2	2	0	2	0	0	0	6	5	5	0	0	0	0	0
3	2	1	0	3	2	1	0	2	0	0	0	6	5	4	0	0	0	0	0
3	2	1	0	3	2	1	0	2	0	0	0	6	5	4	0	0	0	0	0
3	2	1	0	3	2	1	0	2	0	0	0	5	5	4	0	0	0	0	0
3	2	0	0	2	2	0	0	0	0	0	0	5	4	0	0	0	0	0	0
2	2	0	0	2	1	0	0	0	0	0	0	5	4	0	0	0	0	0	0
2	2	0	0	2	1	0	0	0	0	0	0	5	4	0	0	0	0	0	0
2	1	0	0	2	1	0	0	0	0	0	0	5	4	0	0	0	0	0	0
2	1	0	0	2	1	0	0	0	0	0	0	5	4	0	0	0	0	0	0
2	1	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
2	1	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
2	1	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
2	1	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
2	1	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0